Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,LSOCSVM,OCSVM,SVDD
noise,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
g_mean,0.642470829935107,0.616640225814359,0.316454779700605,0.353384129844268,0.542200599073083,0.630818239695092,0.635264166982489,0.507566143678781
std_g,0.0296521197564028,0.0271182879268291,0.0539836633100801,0.0640406584881653,0.0430086408397137,0.0195786862263421,0.0240617446745665,0.0193158962895013
train_time,0.08757629,0.03261108,0.3426983,0.01726875,0.0070279,0.00194507,0.00702367,0.00896393
test_time,0.00074817,0.00123784,0.00088837,0.00115744,0,0.0002876,0.00023684,0.00082515
auc,0.660226757369614,0.606530612244898,0.544308390022676,0.542721088435374,0.585124716553288,0.633424036281179,0.640045351473923,0.534104308390023
std_auc,0.0328357755773973,0.0210581522231044,0.0503743082996075,0.048688538288846,0.0309520256325258,0.0233989483152267,0.0210981048874088,0.0364703120161852
C,524288,1048576,1048576,1024,1048576,1,NaN,65536
L,1000,1000,1000,1000,1000,NaN,NaN,NaN
eta,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lambda,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
k,NaN,NaN,NaN,NaN,NaN,0.125,0.25,0.0625
v,NaN,NaN,NaN,NaN,NaN,NaN,0.7,NaN
