Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,LSOCSVM,OCSVM,SVDD
noise,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
g_mean,0.642470829935107,0.42046829952285,0.651986939703118,0.596092144190841,0.605722702130463,0.678875633720913,0.673681506912589,0.56471036980927
std_g,0.0296521197564028,0.0210355738652695,0.0249891098147379,0.0143123767572846,0.0302298069123573,0.0323199085186332,0.041923192633863,0.0293573314264187
train_time,0.08757629,0.03546496,0.40370136,0.02243556,0.00987842,0.00438364,0.00635063,0.01488195
test_time,0.00074817,0.00286072,0.00271929,0.00245019,0.0375,0.00157513,0.00170848,0.00501869
auc,0.660226757369614,0.62778775510204,0.693175510204082,0.691771428571429,0.646742857142857,0.746024489795919,0.740979591836735,0.577959183673469
std_auc,0.0328357755773973,0.030365084157278,0.0353682925553955,0.0404102393016717,0.0253691906664113,0.0387407467989295,0.0401852529088019,0.0358861946202215
C,524288,0.00390625,8192,4096,2,0.1,NaN,0.0625
L,1000,1000,1000,1000,1000,NaN,NaN,NaN
eta,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lambda,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
k,NaN,NaN,NaN,NaN,NaN,1,8,1
v,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN
