Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,ELMRCC
noise,0.2,0.2,0.2,0.2,0.2,0.2
g_mean,0.83111867931675,0.676503401668455,0.996395010797482,0.415933855746179,0.604751817940279,0.573312616001852
std_g,0.0232822494019395,0.0214699888226281,0.00287517617330928,0.0866718258108346,0.0145332110032804,0.0385676417744733
train_time,0.25339827,0.07134478,1.04525445,0.10998546,0.03651259,0.14643949
test_time,0.00458049,0.00423433,0.00442368,0.00491037,0.05,0.00442461
auc,0.917829208186007,0.75165184470874,0.999917854209079,0.777536697739205,0.744021215043394,0.755887710275367
std_auc,0.00658275679129963,0.020095938175848,0.000130740420855825,0.11090625657995,0.0122765283988674,0.0333609798600687
C,1048576,1048576,65536,4096,1048576,1048576
L,1000,1000,1000,1000,1000,1000
eta,128,NaN,NaN,NaN,NaN,128
lambda,0,NaN,NaN,NaN,NaN,NaN
