Row,IROCELM,ORELM,l1OCELM,WELM,OCELM
noise,0.1,0.1,0.1,0.1,0.1
g_mean,0.497749265799744,0.496800854836587,0.233195476729002,0.311071489963955,0.446752127853665
std_g,0.0264440521367021,0.0209467192172182,0.0136738879423217,0.0388488496614783,0.0140235396593183
train_time,0.10552831,0.03423027,0.38772895,0.02118245,0.00857385
test_time,0.00317127,0.0032422,0.00334804,0.00335706,0.0265625
auc,0.513344704353476,0.513360948667965,0.479808317089019,0.65780539311241,0.529848927875243
std_auc,0.0434100250238023,0.047071142277187,0.0365164457704894,0.0857779488924863,0.0411224936281501
C,131072,262144,1048576,0.25,1048576
L,1000,1000,1000,1000,1000
eta,128,NaN,NaN,NaN,NaN
lambda,0,NaN,NaN,NaN,NaN
