Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,ELMRCC
noise,0.2,0.2,0.2,0.2,0.2,0.2
g_mean,0.913252045513408,0.899228335236212,0.873668845540602,0.671785440788932,0.898522086659798,0.907202107383666
std_g,0.0164507660676601,0.0178404061620155,0.0180571001556652,0.0158486127838564,0.0235499291056368,0.0134473108934439
train_time,0.51003575,0.0122324,0.29752314,0.02687036,0.00964154,0.06672983
test_time,0.0009753,0.00091278,0.0009913,0.00083263,0.025,0.00137207
auc,0.954272863568216,0.953418290854573,0.936431784107946,0.806664167916042,0.949940029985008,0.954272863568216
std_auc,0.0102215700059474,0.0106500843821342,0.0135406925158429,0.0598697880811117,0.0141518347045846,0.0114693470255427
C,1048576,1024,1048576,0.001953125,32768,262144
L,500,500,500,500,500,500
eta,4,NaN,NaN,NaN,NaN,0.03125
lambda,0.6,NaN,NaN,NaN,NaN,NaN
