Row,ORELM,l1OCELM,WELM,OCELM,LSOCSVM,OCSVM,SVDD
noise,0.2,0.2,0.2,0.2,0.2,0.2,0.2
g_mean,0.537357892900133,0.22870100604033,0.480908460489733,0.501522431461541,0.588134949854256,0.548580607126561,0.467722993541442
std_g,0.0480720324243,0.0402798219712609,0.012251920774858,0.0433799946916404,0.0312497103157156,0.0420059931813615,0.0225915235742915
train_time,0.03287256,0.25413791,0.01217469,0.0054387,0.0012755,0.00506103,0.00612394
test_time,0.00160094,0.00160164,0.00171851,0,0.00035225,0.00026739,0.00081193
auc,0.55882183908046,0.564051724137931,0.561379310344827,0.571005747126436,0.579568965517241,0.565172413793103,0.438477011494253
std_auc,0.0469241230179357,0.0485533838009468,0.0400912590599075,0.0366189756389243,0.048799358998611,0.0395912176079211,0.0399117253992104
C,1048576,1048576,0.001953125,1048576,100,NaN,0.125
L,1000,1000,1000,1000,NaN,NaN,NaN
eta,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lambda,NaN,NaN,NaN,NaN,NaN,NaN,NaN
k,NaN,NaN,NaN,NaN,0.125,0.015625,0.015625
v,NaN,NaN,NaN,NaN,NaN,0.7,NaN
