Row,IROCELM,ORELM,l1OCELM,WELM,OCELM
noise,0.2,0.2,0.2,0.2,0.2
g_mean,0.516530385496431,0.496205264602525,0.489985197605524,0.309231144197471,0.503785506133813
std_g,0.0457436036302981,0.0675360866945577,0.0409474286533945,0.105048428058884,0.0403748969926875
train_time,0.13530149,0.04276367,0.53148327,0.03903359,0.01569903
test_time,0.00107143,0.00102396,0.00114971,0.00098624,0
auc,0.516378066378066,0.484126984126984,0.493650793650794,0.652813852813853,0.49455266955267
std_auc,0.0502516605606846,0.0406306632615682,0.0475178814689361,0.0954730220106012,0.0391596321357632
C,64,2,16384,0.015625,128
L,1000,1000,1000,1000,1000
eta,1,NaN,NaN,NaN,NaN
lambda,0,NaN,NaN,NaN,NaN
