Row,ORELM,l1OCELM,WELM,OCELM,LSOCSVM,OCSVM,SVDD
noise,0.1,0.1,0.1,0.1,0.1,0.1,0.1
g_mean,0.681811714799145,0.427118409585306,0.672046303492484,0.538800090488014,0.662328611325423,0.77729647723131,0.569605227552038
std_g,0.0367371581142293,0.0143563449917423,0.0144490193280096,0.0258962330851149,0.0470303339353838,0.0327790237197251,0.0288530142245596
train_time,0.02554641,0.15696655,0.00278468,0.00190792,0.00058352,0.00201666,0.00305396
test_time,0.00169585,0.00189131,0.00163261,0,0.00024909,0.00024744,0.00018986
auc,0.724189261031366,0.6367889420521,0.794577352472089,0.640191387559808,0.700372142477405,0.83083466241361,0.412652844231792
std_auc,0.0504648045309801,0.0705070593632636,0.0538663408556584,0.0498424123920842,0.0635715828763714,0.0447791496260875,0.0163337903834309
C,1048576,1048576,0.0009765625,1048576,0.1,NaN,512
L,1000,1000,1000,1000,NaN,NaN,NaN
eta,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lambda,NaN,NaN,NaN,NaN,NaN,NaN,NaN
k,NaN,NaN,NaN,NaN,0.015625,0.25,0.25
v,NaN,NaN,NaN,NaN,NaN,1,NaN
