Row,IROCELM,ORELM,l1OCELM,WELM,OCELM
noise,0.2,0.2,0.2,0.2,0.2
g_mean,0.88141482918666,0.694483411220479,0.80337338668554,0.687506624105694,0.695916974778439
std_g,0.031941971190478,0.0561202233306826,0.0396410417107223,0.0986678873030004,0.0576564714502453
train_time,0.50622649,0.02741756,0.20546752,0.00902173,0.00412777
test_time,0.00062703,0.00065578,0.00068686,0.0006901,0
auc,0.912316715542521,0.767057673509286,0.880840664711632,0.920234604105572,0.765493646138807
std_auc,0.02500716419405,0.0521730264689843,0.0452328664693808,0.0326659117880869,0.0514999908649057
C,4,1,1024,1024,32
L,1000,1000,1000,1000,1000
eta,0.5,NaN,NaN,NaN,NaN
lambda,0.1,NaN,NaN,NaN,NaN
