Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,ELMRCC
noise,0.2,0.2,0.2,0.2,0.2,0.2
g_mean,0.70001352240469,0.557095179098363,0.678805345972381,0.403062144468862,0.556511572678194,0.570694807826833
std_g,0.0419135147996986,0.0686776805516829,0.0518898649846799,0.0784637757621141,0.0737478397065374,0.0658907877517675
train_time,0.4969505,0.02686935,0.16606489,0.00424228,0.0021496,0.01009494
test_time,0.00072583,0.00049055,0.00050848,0.00054774,0.028125,0.00074597
auc,0.7454,0.5756,0.7628,0.6968,0.5728,0.5954
std_auc,0.0435231739038718,0.0696390694940707,0.0381482488312228,0.0587211867878859,0.0749885917249344,0.104558542878566
C,8,0.25,512,1048576,8,128
L,1000,1000,1000,1000,1000,1000
eta,32,NaN,NaN,NaN,NaN,0.03125
lambda,0.9,NaN,NaN,NaN,NaN,NaN
