Row,IROCELM,ORELM,l1OCELM,WELM,OCELM
noise,0.2,0.2,0.2,0.2,0.2
g_mean,0.543760838001347,0.53140118051349,0.527310933042579,0.258502428367263,0.531424434033916
std_g,0.028970561184764,0.0241270866284268,0.017371184972981,0.0375200355801456,0.0236237191343344
train_time,1.16134579,0.04932553,0.78258627,0.05555556,0.02130191
test_time,0.00358731,0.0036093,0.00356006,0.00376171,0.0125
auc,0.554311513806706,0.543777736686391,0.543170611439842,0.531305473372781,0.547229413214991
std_auc,0.0312238241774407,0.0234448837822779,0.0268360886619385,0.0360913305803195,0.0252411988622902
C,8,0.25,1024,1048576,65536
L,1000,1000,1000,1000,1000
eta,128,NaN,NaN,NaN,NaN
lambda,0.9,NaN,NaN,NaN,NaN
