Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,ELMRCC
noise,0.2,0.2,0.2,0.2,0.2,0.2
g_mean,0.48246163428051,0.482141470534395,0.248700713557624,0.440797742767014,0.430056675116956,0.434759835874946
std_g,0.0136027296960723,0.014870095872132,0.0142635084001818,0.0297444664199436,0.0140815687156124,0.0207773342622717
train_time,1.16543535,0.28644389,2.94164403,1.02369529,0.15926632,5.54914304
test_time,0.01803209,0.01793569,0.01985536,0.01825421,0.1140625,0.01900246
auc,0.683268071626556,0.68777882880901,0.615663772053324,0.627816060979366,0.671100796339479,0.687769204540455
std_auc,0.0114155194008279,0.0121467259250571,0.0107359411458711,0.0307924745269316,0.00839297575547026,0.00999228352071975
C,1048576,1048576,1048576,0.001953125,1048576,1048576
L,1000,1000,1000,1000,1000,1000
eta,128,NaN,NaN,NaN,NaN,128
lambda,0,NaN,NaN,NaN,NaN,NaN
