Row,IROCELM,ORELM,l1OCELM,WELM,OCELM
noise,0.2,0.2,0.2,0.2,0.2
g_mean,0.526432669302093,0.492211100148964,0.504906381573108,0.243793143462089,0.505646468562337
std_g,0.0843425458579914,0.0266017279367827,0.0632736533980714,0.0668866509054399,0.0277256627639436
train_time,0.49211002,0.02683291,0.16419684,0.0050697,0.00220051
test_time,0.00059276,0.00055818,0.00067489,0.00067465,0
auc,0.530288461538462,0.514423076923077,0.527764423076923,0.438822115384615,0.519951923076923
std_auc,0.0825005385444539,0.0538769085705584,0.0826631279576487,0.0462716969937079,0.0578706511608354
C,32,0.03125,128,1048576,2
L,1000,1000,1000,1000,1000
eta,0.5,NaN,NaN,NaN,NaN
lambda,0.1,NaN,NaN,NaN,NaN
