Row,IROCELM,ORELM,l1OCELM,WELM,OCELM
noise,0.2,0.2,0.2,0.2,0.2
g_mean,0.599806731761314,0.547883778210487,0.5823556413486,0.485552098600381,0.545107122327958
std_g,0.0469722537735271,0.0604325891648638,0.0442335844489584,0.032279325983974,0.0283070098825495
train_time,0.48968159,0.0260251,0.16310419,0.00440758,0.00216744
test_time,0.00079046,0.00079105,0.00082791,0.00079299,0
auc,0.633456153279292,0.598747236551216,0.622254974207811,0.590641120117907,0.565070007369197
std_auc,0.0348690996312206,0.0546638452119476,0.054520104647457,0.0561492711145248,0.0499426435852663
C,16,0.125,512,1048576,1
L,1000,1000,1000,1000,1000
eta,0.125,NaN,NaN,NaN,NaN
lambda,0.1,NaN,NaN,NaN,NaN
