Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,LSOCSVM,OCSVM,SVDD
noise,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
g_mean,0.642470829935107,0.323105560956164,0.292877742897005,0.227283774864698,0.333143059657704,0.342660278483969,0.370443284922769,0.612071937715883
std_g,0.0296521197564028,0.0314149423286093,0.0424552690431665,0.121514661029632,0.0258483930416084,0.0283523158570049,0.0303084319612438,0.0484438862928184
train_time,0.08757629,0.03200601,0.32633152,0.01474247,0.00634991,0.00196944,0.00637254,0.02997645
test_time,0.00074817,0.0010934,0.00110781,0.00101657,0.0359375,0.00048301,0.00039256,0.00216024
auc,0.660226757369614,0.259112050739958,0.239577167019027,0.481564482029598,0.27014799154334,0.284904862579281,0.269725158562368,0.816828752642706
std_auc,0.0328357755773973,0.0397217023130965,0.0454882175841691,0.0927827951106868,0.0479854684830674,0.0287400655104668,0.0347578255119919,0.0223028977665151
C,524288,8,262144,0.125,256,1000,NaN,0.0625
L,1000,1000,1000,1000,1000,NaN,NaN,NaN
eta,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lambda,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
k,NaN,NaN,NaN,NaN,NaN,8,0.25,0.0078125
v,NaN,NaN,NaN,NaN,NaN,NaN,0.01,NaN
