Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,ELMRCC
noise,0.2,0.2,0.2,0.2,0.2,0.2
g_mean,0.818412825502041,0.621133240197017,0.617692439628944,0.426486561018498,0.630452401755968,0.640961838513175
std_g,0.0163343398822009,0.0316200908127089,0.0345623051618508,0.00772137833548725,0.0356039983903554,0.0474349194739908
train_time,0.51236294,0.02855175,0.1889379,0.00597185,0.00270718,0.01880772
test_time,0.00158794,0.00139167,0.00163015,0.00151018,0,0.0017971
auc,0.850992063492062,0.665714285714285,0.665753968253968,0.736190476190475,0.657380952380952,0.685555555555555
std_auc,0.0279255642846758,0.0405289796508619,0.0352289430334727,0.0379792288586399,0.0357364226906041,0.0574291037439388
C,4,2,8192,2,128,256
L,1000,1000,1000,1000,1000,1000
eta,0.0078125,NaN,NaN,NaN,NaN,0.0625
lambda,0.3,NaN,NaN,NaN,NaN,NaN
