Row,IROCELM,ORELM,l1OCELM,WELM,OCELM,ELMRCC
noise,0.2,0.2,0.2,0.2,0.2,0.2
g_mean,0.647847157211911,0.629030840165716,0.585473547727233,0.513378199025314,0.615371961467237,0.569668766569982
std_g,0.0264209992521636,0.0296971084632308,0.0377917546941453,0.0823561580970705,0.0341280565215371,0.12903434024776
train_time,0.87606832,0.04073358,0.50145584,0.03070394,0.01225316,0.05788482
test_time,0.002335,0.0019819,0.00215914,0.0019848,0.0109375,0.00257147
auc,0.691351996527778,0.680305989583333,0.635384114583333,0.908333333333334,0.683832465277778,0.695703125
std_auc,0.0297017707149951,0.0246359382735936,0.0435293669589756,0.042891129698652,0.0238863634104718,0.0438711168492769
C,8,0.0625,256,16384,4,4
L,1000,1000,1000,1000,1000,1000
eta,16,NaN,NaN,NaN,NaN,1
lambda,0.8,NaN,NaN,NaN,NaN,NaN
