Row,IROCELM,ORELM,l1OCELM,WELM,OCELM
noise,0.1,0.1,0.1,0.1,0.1
g_mean,0.945741669593833,0.577591042990484,0.740816176372834,0.419429485666109,0.590179639964113
std_g,0.0395253466806392,0.111456288012793,0.0683183079708022,0.0439816071519375,0.113733100212411
train_time,0.44358277,0.02436792,0.12664023,0.00216001,0.00114014
test_time,0.0007406,0.00073082,0.00077287,0.00079142,0
auc,0.993055555555554,0.684837962962963,0.84537037037037,0.687962962962963,0.677546296296296
std_auc,0.00494068228196947,0.0830130913749183,0.0739336857665212,0.131592239835683,0.0925800531632645
C,0.001953125,0.03125,1,1048576,1
L,1000,1000,1000,1000,1000
eta,128,NaN,NaN,NaN,NaN
lambda,0.2,NaN,NaN,NaN,NaN
